Elaborado el... 2007-11-15
Mes: 1 de Febrero de 2007 al 28 de Febrero de 2007
CODIGO | PLAN | FECHA REGISTRO | HORA INGRESO | HORA SALIDA | SALA | No. EQUIPO | TIPO USO
0281517 |2711 | 2007-03-09 | 10:16:45 | 11:14:35 | idiomas | pc01 | Clase
0281517 |2711 | 2007-03-09 | 10:12:30 | 11:10:19 | idiomas | pc01 | Clase
0281517 |2711 | 2007-03-09 | 10:30:39 | 11:30:39 | idiomas | pc01 | Practica
0281517 |2711 | 2007-03-09 | 10:13:29 | 11:11:19 | idiomas | pc01 | Practica
0281517 |2711 | 2007-03-09 | 10:13:49 | 11:11:39 | idiomas | pc01 | Practica
0444247 |3857 | 2007-03-09 | 14:17:43 | 15:17:43 | idiomas | pc02 | Practica
0445102 |3857 | 2007-03-09 | 14:19:11 | 15:19:11 | idiomas | pc03 | Practica
0522301 |3857 | 2007-03-09 | 10:23:14 | 11:21:22 | idiomas | pc03 | Practica
0422147 |3842 | 2007-03-09 | 14:20:43 | 15:20:43 | idiomas | pc04 | Practica
0522108 |3857 | 2007-03-09 | 10:23:41 | 11:21:49 | idiomas | pc05 | Practica
0422114 |3842 | 2007-03-09 | 14:21:25 | 15:21:25 | idiomas | pc05 | Practica
0329242 |3842 | 2007-03-09 | 15:14:58 | 16:14:58 | idiomas | pc06 | Practica
0328705 |3842 | 2007-03-09 | 15:17:37 | 16:17:37 | idiomas | pc07 | Practica
0434775 |3857 | 2007-03-09 | 15:12:55 | 16:12:55 | idiomas | pc11 | Practica
0505278 |7878 | 2007-03-09 | 09:14:51 | 10:12:59 | idiomas | pc14 | Practica
0444268 |3748 | 2007-03-09 | 11:09:52 | 12:09:52 | idiomas | pc16 | Practica
0433607 |3857 | 2007-03-09 | 11:04:02 | 12:04:02 | idiomas | pc18 | Practica
0730114 |3857 | 2007-03-09 | 10:17:28 | 11:15:36 | idiomas | pc20 | Practica
0735807 |3846 | 2007-03-09 | 10:07:39 | 11:05:47 | idiomas | pc22 | Practica
0622240 |3842 | 2007-03-10 | 16:20:14 | 17:20:14 | idiomas | pc03 | Practica
0622239 |2703 | 2007-03-10 | 16:20:33 | 17:20:33 | idiomas | pc05 | Practica
0232602 |3846 | 2007-03-10 | 16:55:31 | 17:55:31 | idiomas | pc07 | Practica
0735464 |3846 | 2007-03-10 | 17:03:18 | 18:03:18 | idiomas | pc09 | Practica
0623128 |3845 | 2007-03-10 | 15:52:05 | 16:52:05 | idiomas | pc16 | Practica
0505278 |7878 | 2007-03-10 | 14:39:23 | 15:39:23 | idiomas | pc18 | Practica
0522108 |3857 | 2007-03-10 | 14:27:13 | 15:27:13 | idiomas | pc20 | Practica
0522301 |3857 | 2007-03-10 | 14:26:31 | 15:26:31 | idiomas | pc22 | Practica
0422395 |3845 | 2007-03-11 | 09:42:19 | 10:42:19 | idiomas | pc20 | Practica
0128720 |3846 | 2007-03-11 | 09:18:16 | 10:18:16 | idiomas | pc21 | Practica
0422182 |3845 | 2007-03-11 | 09:12:34 | 10:12:34 | idiomas | pc22 | Practica
16253860 |1111 | 2007-03-12 | 08:38:48 | 09:38:48 | idiomas | pc01 | Practica
0332710 |3846 | 2007-03-12 | 08:39:13 | 09:39:13 | idiomas | pc02 | Practica
0732372 |3846 | 2007-03-12 | 10:26:33 | 11:26:33 | idiomas | pc02 | Practica
0735464 |3846 | 2007-03-12 | 10:27:45 | 11:27:45 | idiomas | pc03 | Practica
0733717 |3857 | 2007-03-12 | 11:39:47 | 12:39:47 | idiomas | pc04 | Practica
31216051 |1111 | 2007-03-12 | 10:05:23 | 11:05:23 | idiomas | pc04 | Practica
0731960 |3857 | 2007-03-12 | 11:40:05 | 12:40:05 | idiomas | pc05 | Practica
0735807 |3846 | 2007-03-12 | 10:35:25 | 11:35:25 | idiomas | pc06 | Practica
0733644 |3846 | 2007-03-12 | 10:39:19 | 11:39:19 | idiomas | pc07 | Practica
0522108 |3857 | 2007-03-12 | 11:05:14 | 12:05:14 | idiomas | pc22 | Practica
0432182 |3842 | 2007-03-13 | 11:21:12 | 12:21:12 | idiomas | pc01 | Practica
0441275 |3842 | 2007-03-13 | 11:21:29 | 12:21:29 | idiomas | pc03 | Practica
0434187 |3842 | 2007-03-13 | 11:22:50 | 12:22:50 | idiomas | pc04 | Practica
0434187 |3842 | 2007-03-13 | 11:21:45 | 12:21:45 | idiomas | pc05 | Practica
0533528 |3842 | 2007-03-13 | 11:23:12 | 12:23:12 | idiomas | pc06 | Practica
0538900 |3842 | 2007-03-13 | 11:23:25 | 12:23:25 | idiomas | pc08 | Practica
0522192 |3857 | 2007-03-13 | 11:28:23 | 12:28:23 | idiomas | pc10 | Practica
0733019 |3857 | 2007-03-13 | 10:30:37 | 11:30:37 | idiomas | pc14 | Practica
0623625 |3841 | 2007-03-13 | 10:22:25 | 11:22:25 | idiomas | pc16 | Practica
0623526 |3842 | 2007-03-13 | 10:22:10 | 11:22:10 | idiomas | pc18 | Practica
0710069 |3845 | 2007-03-13 | 10:08:42 | 11:08:42 | idiomas | pc20 | Practica
0441530 |3857 | 2007-03-13 | 09:43:37 | 10:43:37 | idiomas | pc22 | Practica
16253860 |1111 | 2007-03-14 | 09:59:52 | 10:59:52 | idiomas | pc01 | Practica
0505278 |7878 | 2007-03-14 | 11:05:31 | 12:05:31 | idiomas | pc04 | Practica
0538900 |3842 | 2007-03-14 | 10:10:12 | 11:10:12 | idiomas | pc04 | Practica
